star_id,method,n_candidates,found_true_period,rank_of_true_period,matched_P0,true_period,PERIOD,ACTIVITY,CYCLE,OVERLAP,INCL,MINLAT,MAXLAT,DIFFROT,TSPOT,BFLY
smarts-tess-v1.0-092100,wavelet,10,False,,,16.6378002166748,16.6378002166748,9.901399612426758,11.19699954986572,1.42110002040863,0.2671000063419342,18.47570037841797,36.34479904174805,0.1657000035047531,4.053100109100342,True
smarts-tess-v1.0-092200,acf_fft,10,True,1.0,16.385057471263437,16.65369987487793,16.65369987487793,0.515999972820282,11.38360023498535,4.589499950408936,0.8881999850273132,5.987199783325195,34.38990020751953,-0.1365000009536743,7.424799919128418,True
smarts-tess-v1.0-092200,lombscargle,10,True,1.0,16.96924603174603,16.65369987487793,16.65369987487793,0.515999972820282,11.38360023498535,4.589499950408936,0.8881999850273132,5.987199783325195,34.38990020751953,-0.1365000009536743,7.424799919128418,True
smarts-tess-v1.0-092200,pairwise_histogram,10,False,,,16.65369987487793,16.65369987487793,0.515999972820282,11.38360023498535,4.589499950408936,0.8881999850273132,5.987199783325195,34.38990020751953,-0.1365000009536743,7.424799919128418,True
smarts-tess-v1.0-092200,wavelet,10,True,1.0,16.272005853775042,16.65369987487793,16.65369987487793,0.515999972820282,11.38360023498535,4.589499950408936,0.8881999850273132,5.987199783325195,34.38990020751953,-0.1365000009536743,7.424799919128418,True
smarts-tess-v1.0-092300,acf_fft,10,False,,,16.67280006408691,16.67280006408691,0.2633999884128571,1.989099979400635,0.1041999980807304,0.8230000138282776,18.31909942626953,32.13809967041016,0.193000003695488,6.000199794769287,True
smarts-tess-v1.0-092300,lombscargle,10,True,4.0,16.578703703703702,16.67280006408691,16.67280006408691,0.2633999884128571,1.989099979400635,0.1041999980807304,0.8230000138282776,18.31909942626953,32.13809967041016,0.193000003695488,6.000199794769287,True
smarts-tess-v1.0-092300,pairwise_histogram,10,False,,,16.67280006408691,16.67280006408691,0.2633999884128571,1.989099979400635,0.1041999980807304,0.8230000138282776,18.31909942626953,32.13809967041016,0.193000003695488,6.000199794769287,True
smarts-tess-v1.0-092300,wavelet,10,False,,,16.67280006408691,16.67280006408691,0.2633999884128571,1.989099979400635,0.1041999980807304,0.8230000138282776,18.31909942626953,32.13809967041016,0.193000003695488,6.000199794769287,True
smarts-tess-v1.0-092400,acf_fft,10,False,,,16.68740081787109,16.68740081787109,1.760300040245056,2.645600080490112,1.74399995803833,0.1903000026941299,33.80730056762695,66.17310333251953,0.6425999999046326,9.791000366210938,True
smarts-tess-v1.0-092400,lombscargle,10,True,8.0,16.196969696969695,16.68740081787109,16.68740081787109,1.760300040245056,2.645600080490112,1.74399995803833,0.1903000026941299,33.80730056762695,66.17310333251953,0.6425999999046326,9.791000366210938,True
smarts-tess-v1.0-092400,pairwise_histogram,10,False,,,16.68740081787109,16.68740081787109,1.760300040245056,2.645600080490112,1.74399995803833,0.1903000026941299,33.80730056762695,66.17310333251953,0.6425999999046326,9.791000366210938,True
smarts-tess-v1.0-092400,wavelet,10,False,,,16.68740081787109,16.68740081787109,1.760300040245056,2.645600080490112,1.74399995803833,0.1903000026941299,33.80730056762695,66.17310333251953,0.6425999999046326,9.791000366210938,True
smarts-tess-v1.0-092600,acf_fft,10,False,,,16.72520065307617,16.72520065307617,2.740299940109253,3.464999914169312,2.211800098419189,0.3255999982357025,31.52519989013672,75.38330078125,-0.2804000079631805,4.169400215148926,True
smarts-tess-v1.0-092600,lombscargle,10,False,,,16.72520065307617,16.72520065307617,2.740299940109253,3.464999914169312,2.211800098419189,0.3255999982357025,31.52519989013672,75.38330078125,-0.2804000079631805,4.169400215148926,True
smarts-tess-v1.0-092600,pairwise_histogram,10,False,,,16.72520065307617,16.72520065307617,2.740299940109253,3.464999914169312,2.211800098419189,0.3255999982357025,31.52519989013672,75.38330078125,-0.2804000079631805,4.169400215148926,True
smarts-tess-v1.0-092600,wavelet,10,False,,,16.72520065307617,16.72520065307617,2.740299940109253,3.464999914169312,2.211800098419189,0.3255999982357025,31.52519989013672,75.38330078125,-0.2804000079631805,4.169400215148926,True
smarts-tess-v1.0-092800,acf_fft,10,False,,,16.76469993591309,16.76469993591309,5.715499877929688,1.844200015068054,0.3556999862194061,1.24210000038147,30.26790046691895,52.71110153198242,-0.3828000128269196,5.868100166320801,True
smarts-tess-v1.0-092800,lombscargle,10,False,,,16.76469993591309,16.76469993591309,5.715499877929688,1.844200015068054,0.3556999862194061,1.24210000038147,30.26790046691895,52.71110153198242,-0.3828000128269196,5.868100166320801,True
smarts-tess-v1.0-092800,pairwise_histogram,9,False,,,16.76469993591309,16.76469993591309,5.715499877929688,1.844200015068054,0.3556999862194061,1.24210000038147,30.26790046691895,52.71110153198242,-0.3828000128269196,5.868100166320801,True
smarts-tess-v1.0-092800,wavelet,10,False,,,16.76469993591309,16.76469993591309,5.715499877929688,1.844200015068054,0.3556999862194061,1.24210000038147,30.26790046691895,52.71110153198242,-0.3828000128269196,5.868100166320801,True
smarts-tess-v1.0-092900,acf_fft,10,False,,,16.78240013122559,16.78240013122559,1.609599947929382,2.803699970245361,0.9305999875068665,0.9261000156402588,13.92269992828369,22.84280014038086,0.189300000667572,5.444900035858154,False
smarts-tess-v1.0-092900,lombscargle,10,True,2.0,16.30456349206349,16.78240013122559,16.78240013122559,1.609599947929382,2.803699970245361,0.9305999875068665,0.9261000156402588,13.92269992828369,22.84280014038086,0.189300000667572,5.444900035858154,False
smarts-tess-v1.0-092900,pairwise_histogram,10,True,1.0,17.167343749999986,16.78240013122559,16.78240013122559,1.609599947929382,2.803699970245361,0.9305999875068665,0.9261000156402588,13.92269992828369,22.84280014038086,0.189300000667572,5.444900035858154,False
smarts-tess-v1.0-092900,wavelet,10,True,1.0,17.18545544246927,16.78240013122559,16.78240013122559,1.609599947929382,2.803699970245361,0.9305999875068665,0.9261000156402588,13.92269992828369,22.84280014038086,0.189300000667572,5.444900035858154,False
smarts-tess-v1.0-093100,acf_fft,10,True,1.0,16.970238095237132,16.8164005279541,16.8164005279541,0.9836000204086304,2.000699996948242,0.838100016117096,0.9132999777793884,14.45119953155518,69.40670013427734,0.0,6.256599903106689,True
smarts-tess-v1.0-093100,lombscargle,10,True,1.0,16.96825396825397,16.8164005279541,16.8164005279541,0.9836000204086304,2.000699996948242,0.838100016117096,0.9132999777793884,14.45119953155518,69.40670013427734,0.0,6.256599903106689,True
smarts-tess-v1.0-093100,pairwise_histogram,10,False,,,16.8164005279541,16.8164005279541,0.9836000204086304,2.000699996948242,0.838100016117096,0.9132999777793884,14.45119953155518,69.40670013427734,0.0,6.256599903106689,True
smarts-tess-v1.0-093100,wavelet,10,False,,,16.8164005279541,16.8164005279541,0.9836000204086304,2.000699996948242,0.838100016117096,0.9132999777793884,14.45119953155518,69.40670013427734,0.0,6.256599903106689,True
smarts-tess-v1.0-093300,acf_fft,10,False,,,16.85330009460449,16.85330009460449,3.323400020599365,1.105800032615662,0.2319999933242798,1.177500009536743,25.47229957580566,36.1348991394043,0.2240999937057495,9.930899620056152,True
smarts-tess-v1.0-093300,lombscargle,10,False,,,16.85330009460449,16.85330009460449,3.323400020599365,1.105800032615662,0.2319999933242798,1.177500009536743,25.47229957580566,36.1348991394043,0.2240999937057495,9.930899620056152,True
smarts-tess-v1.0-093300,pairwise_histogram,10,False,,,16.85330009460449,16.85330009460449,3.323400020599365,1.105800032615662,0.2319999933242798,1.177500009536743,25.47229957580566,36.1348991394043,0.2240999937057495,9.930899620056152,True
smarts-tess-v1.0-093300,wavelet,10,False,,,16.85330009460449,16.85330009460449,3.323400020599365,1.105800032615662,0.2319999933242798,1.177500009536743,25.47229957580566,36.1348991394043,0.2240999937057495,9.930899620056152,True
smarts-tess-v1.0-093400,acf_fft,10,False,,,16.87089920043945,16.87089920043945,0.259799987077713,5.973599910736084,4.148900032043457,0.541700005531311,31.46689987182617,72.502197265625,-0.1840000003576279,3.239300012588501,True
smarts-tess-v1.0-093400,lombscargle,10,False,,,16.87089920043945,16.87089920043945,0.259799987077713,5.973599910736084,4.148900032043457,0.541700005531311,31.46689987182617,72.502197265625,-0.1840000003576279,3.239300012588501,True
smarts-tess-v1.0-093400,pairwise_histogram,0,False,,,16.87089920043945,16.87089920043945,0.259799987077713,5.973599910736084,4.148900032043457,0.541700005531311,31.46689987182617,72.502197265625,-0.1840000003576279,3.239300012588501,True
smarts-tess-v1.0-093400,wavelet,5,True,4.0,16.840092356636934,16.87089920043945,16.87089920043945,0.259799987077713,5.973599910736084,4.148900032043457,0.541700005531311,31.46689987182617,72.502197265625,-0.1840000003576279,3.239300012588501,True
smarts-tess-v1.0-093600,acf_fft,10,True,4.0,16.973214285713322,16.90509986877441,16.90509986877441,0.1142999976873398,18.28960037231445,0.2924999892711639,0.8529000282287598,38.51139831542969,50.93939971923828,0.1909999996423721,3.097500085830688,False
smarts-tess-v1.0-093600,lombscargle,10,True,4.0,16.970238095238095,16.90509986877441,16.90509986877441,0.1142999976873398,18.28960037231445,0.2924999892711639,0.8529000282287598,38.51139831542969,50.93939971923828,0.1909999996423721,3.097500085830688,False
smarts-tess-v1.0-093600,pairwise_histogram,10,True,8.0,16.85329835198981,16.90509986877441,16.90509986877441,0.1142999976873398,18.28960037231445,0.2924999892711639,0.8529000282287598,38.51139831542969,50.93939971923828,0.1909999996423721,3.097500085830688,False
smarts-tess-v1.0-093600,wavelet,7,False,,,16.90509986877441,16.90509986877441,0.1142999976873398,18.28960037231445,0.2924999892711639,0.8529000282287598,38.51139831542969,50.93939971923828,0.1909999996423721,3.097500085830688,False
smarts-tess-v1.0-093700,acf_fft,10,False,,,16.92230033874512,16.92230033874512,2.261499881744385,2.164999961853027,1.007300019264221,1.133499979972839,25.34600067138672,47.41379928588867,0.158500000834465,3.767499923706055,False
smarts-tess-v1.0-093700,lombscargle,10,False,,,16.92230033874512,16.92230033874512,2.261499881744385,2.164999961853027,1.007300019264221,1.133499979972839,25.34600067138672,47.41379928588867,0.158500000834465,3.767499923706055,False
smarts-tess-v1.0-093700,pairwise_histogram,8,True,8.0,17.331041666666422,16.92230033874512,16.92230033874512,2.261499881744385,2.164999961853027,1.007300019264221,1.133499979972839,25.34600067138672,47.41379928588867,0.158500000834465,3.767499923706055,False
smarts-tess-v1.0-093700,wavelet,10,False,,,16.92230033874512,16.92230033874512,2.261499881744385,2.164999961853027,1.007300019264221,1.133499979972839,25.34600067138672,47.41379928588867,0.158500000834465,3.767499923706055,False
smarts-tess-v1.0-093800,acf_fft,10,False,,,16.93779945373535,16.93779945373535,1.63730001449585,9.788100242614746,5.652200222015381,1.285500049591064,25.23489952087402,57.11690139770508,0.3828000128269196,9.208900451660156,True
smarts-tess-v1.0-093800,lombscargle,10,True,3.0,16.96825396825397,16.93779945373535,16.93779945373535,1.63730001449585,9.788100242614746,5.652200222015381,1.285500049591064,25.23489952087402,57.11690139770508,0.3828000128269196,9.208900451660156,True
smarts-tess-v1.0-093800,pairwise_histogram,10,False,,,16.93779945373535,16.93779945373535,1.63730001449585,9.788100242614746,5.652200222015381,1.285500049591064,25.23489952087402,57.11690139770508,0.3828000128269196,9.208900451660156,True
smarts-tess-v1.0-093800,wavelet,10,False,,,16.93779945373535,16.93779945373535,1.63730001449585,9.788100242614746,5.652200222015381,1.285500049591064,25.23489952087402,57.11690139770508,0.3828000128269196,9.208900451660156,True
smarts-tess-v1.0-094100,acf_fft,10,True,1.0,16.970238095237132,16.99220085144043,16.99220085144043,3.189300060272217,2.015799999237061,0.4751000106334686,0.9041000008583069,17.06669998168945,62.4276008605957,-0.1133000031113625,5.92710018157959,True
smarts-tess-v1.0-094100,lombscargle,10,True,1.0,16.96825396825397,16.99220085144043,16.99220085144043,3.189300060272217,2.015799999237061,0.4751000106334686,0.9041000008583069,17.06669998168945,62.4276008605957,-0.1133000031113625,5.92710018157959,True
smarts-tess-v1.0-094100,pairwise_histogram,7,True,1.0,17.08359374999975,16.99220085144043,16.99220085144043,3.189300060272217,2.015799999237061,0.4751000106334686,0.9041000008583069,17.06669998168945,62.4276008605957,-0.1133000031113625,5.92710018157959,True
smarts-tess-v1.0-094100,wavelet,10,True,1.0,16.724600964051618,16.99220085144043,16.99220085144043,3.189300060272217,2.015799999237061,0.4751000106334686,0.9041000008583069,17.06669998168945,62.4276008605957,-0.1133000031113625,5.92710018157959,True
smarts-tess-v1.0-094400,acf_fft,10,False,,,17.05229949951172,17.05229949951172,1.25189995765686,10.82960033416748,7.766200065612793,0.9975000023841858,26.3931999206543,57.00289916992188,0.3364000022411346,4.806700229644775,True
smarts-tess-v1.0-094400,lombscargle,10,False,,,17.05229949951172,17.05229949951172,1.25189995765686,10.82960033416748,7.766200065612793,0.9975000023841858,26.3931999206543,57.00289916992188,0.3364000022411346,4.806700229644775,True
smarts-tess-v1.0-094400,pairwise_histogram,10,False,,,17.05229949951172,17.05229949951172,1.25189995765686,10.82960033416748,7.766200065612793,0.9975000023841858,26.3931999206543,57.00289916992188,0.3364000022411346,4.806700229644775,True
smarts-tess-v1.0-094400,wavelet,10,True,9.0,17.263013753286693,17.05229949951172,17.05229949951172,1.25189995765686,10.82960033416748,7.766200065612793,0.9975000023841858,26.3931999206543,57.00289916992188,0.3364000022411346,4.806700229644775,True
smarts-tess-v1.0-094600,acf_fft,10,False,,,17.0890998840332,17.0890998840332,0.2141000032424927,7.539100170135498,0.633400022983551,1.047500014305115,20.05680084228516,65.32610321044922,-0.6869000196456909,9.022199630737305,True
smarts-tess-v1.0-094600,lombscargle,10,True,2.0,17.248903508771928,17.0890998840332,17.0890998840332,0.2141000032424927,7.539100170135498,0.633400022983551,1.047500014305115,20.05680084228516,65.32610321044922,-0.6869000196456909,9.022199630737305,True
smarts-tess-v1.0-094600,pairwise_histogram,8,False,,,17.0890998840332,17.0890998840332,0.2141000032424927,7.539100170135498,0.633400022983551,1.047500014305115,20.05680084228516,65.32610321044922,-0.6869000196456909,9.022199630737305,True
smarts-tess-v1.0-094600,wavelet,9,False,,,17.0890998840332,17.0890998840332,0.2141000032424927,7.539100170135498,0.633400022983551,1.047500014305115,20.05680084228516,65.32610321044922,-0.6869000196456909,9.022199630737305,True
smarts-tess-v1.0-094700,acf_fft,10,False,,,17.10890007019043,17.10890007019043,0.8460000157356262,6.662600040435791,0.3682000041007996,0.2545999884605408,17.19160079956055,26.58340072631836,0.0,6.804500102996826,True
smarts-tess-v1.0-094700,lombscargle,10,True,3.0,16.908730158730158,17.10890007019043,17.10890007019043,0.8460000157356262,6.662600040435791,0.3682000041007996,0.2545999884605408,17.19160079956055,26.58340072631836,0.0,6.804500102996826,True
smarts-tess-v1.0-094700,pairwise_histogram,10,True,9.0,17.104635416666426,17.10890007019043,17.10890007019043,0.8460000157356262,6.662600040435791,0.3682000041007996,0.2545999884605408,17.19160079956055,26.58340072631836,0.0,6.804500102996826,True
smarts-tess-v1.0-094700,wavelet,10,False,,,17.10890007019043,17.10890007019043,0.8460000157356262,6.662600040435791,0.3682000041007996,0.2545999884605408,17.19160079956055,26.58340072631836,0.0,6.804500102996826,True
smarts-tess-v1.0-094800,acf_fft,10,False,,,17.12800025939941,17.12800025939941,0.593999981880188,28.38419914245605,1.797299981117249,0.649399995803833,10.96969985961914,25.53619956970215,0.8946999907493591,8.335599899291992,True
smarts-tess-v1.0-094800,lombscargle,10,False,,,17.12800025939941,17.12800025939941,0.593999981880188,28.38419914245605,1.797299981117249,0.649399995803833,10.96969985961914,25.53619956970215,0.8946999907493591,8.335599899291992,True
smarts-tess-v1.0-094800,pairwise_histogram,0,False,,,17.12800025939941,17.12800025939941,0.593999981880188,28.38419914245605,1.797299981117249,0.649399995803833,10.96969985961914,25.53619956970215,0.8946999907493591,8.335599899291992,True
smarts-tess-v1.0-094800,wavelet,7,False,,,17.12800025939941,17.12800025939941,0.593999981880188,28.38419914245605,1.797299981117249,0.649399995803833,10.96969985961914,25.53619956970215,0.8946999907493591,8.335599899291992,True
smarts-tess-v1.0-094900,acf_fft,10,True,1.0,16.970238095237132,17.14749908447266,17.14749908447266,2.849499940872192,38.98410034179688,22.50099945068359,0.7006000280380249,12.52550029754639,51.231201171875,0.2533000111579895,4.525300025939941,True
smarts-tess-v1.0-094900,lombscargle,10,True,1.0,16.96924603174603,17.14749908447266,17.14749908447266,2.849499940872192,38.98410034179688,22.50099945068359,0.7006000280380249,12.52550029754639,51.231201171875,0.2533000111579895,4.525300025939941,True
smarts-tess-v1.0-094900,pairwise_histogram,4,True,1.0,17.34216417910423,17.14749908447266,17.14749908447266,2.849499940872192,38.98410034179688,22.50099945068359,0.7006000280380249,12.52550029754639,51.231201171875,0.2533000111579895,4.525300025939941,True
smarts-tess-v1.0-094900,wavelet,10,True,1.0,17.636124424274318,17.14749908447266,17.14749908447266,2.849499940872192,38.98410034179688,22.50099945068359,0.7006000280380249,12.52550029754639,51.231201171875,0.2533000111579895,4.525300025939941,True
smarts-tess-v1.0-095000,acf_fft,10,False,,,17.16720008850098,17.16720008850098,7.012599945068359,17.91110038757324,0.367900013923645,1.422500014305115,34.42079925537109,41.07939910888672,0.6714000105857849,6.468200206756592,True
smarts-tess-v1.0-095000,lombscargle,10,False,,,17.16720008850098,17.16720008850098,7.012599945068359,17.91110038757324,0.367900013923645,1.422500014305115,34.42079925537109,41.07939910888672,0.6714000105857849,6.468200206756592,True
