star_id,method,error
smarts-tess-v1.0-048900,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-049400,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-050200,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-050900,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-051100,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-052600,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-054100,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-054600,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-055300,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-055700,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-055900,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-056600,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-057100,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-058500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-059200,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-059200,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-059700,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-059700,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-059900,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-060900,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-061200,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-061800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-062900,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-063400,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-063800,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-064000,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-064400,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-064500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-065300,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-065400,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-066500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-067100,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-068000,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-068500,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-068800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-068900,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-070200,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-071700,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-071900,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-072400,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-072600,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-073100,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-073400,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
smarts-tess-v1.0-074100,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-074800,pairwise_histogram,RuntimeError: guess_pairwise_histogram: fewer than 2 ACF peaks found; try lowering `prominence` or widening the lag range.
smarts-tess-v1.0-075200,wavelet,"RuntimeError: guess_wavelet: no wavelet GWPS peak exceeded min_peak_snr; try lowering min_peak_snr or widening [min_period, max_period]."
